FEN,Evaluation
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 24}"
rnbqkbnr/ppp1pppp/8/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq - 1 2,"{'type': 'cp', 'value': -1}"
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq - 2 3,"{'type': 'cp', 'value': -3}"
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 3 3,"{'type': 'cp', 'value': -16}"
r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 4 4,"{'type': 'cp', 'value': 17}"
r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/2N1PN2/PPP2PPP/R1BQKB1R b KQkq - 0 4,"{'type': 'cp', 'value': 9}"
r2qkb1r/ppp1pppp/2n2n2/3p1b2/3P4/2N1PN2/PPP2PPP/R1BQKB1R w KQkq - 1 5,"{'type': 'cp', 'value': 34}"
r2qkb1r/ppp1pppp/2n2n2/3p1b2/3P3P/2N1PN2/PPP2PP1/R1BQKB1R b KQkq - 0 5,"{'type': 'cp', 'value': -34}"
r2qkb1r/ppp2ppp/2n1pn2/3p1b2/3P3P/2N1PN2/PPP2PP1/R1BQKB1R w KQkq - 0 6,"{'type': 'cp', 'value': -16}"
r2qkb1r/ppp2ppp/2n1pn2/3p1b2/3P3P/2N1PNP1/PPP2P2/R1BQKB1R b KQkq - 0 6,"{'type': 'cp', 'value': -106}"
r2qk2r/ppp2ppp/2n1pn2/3p1b2/1b1P3P/2N1PNP1/PPP2P2/R1BQKB1R w KQkq - 1 7,"{'type': 'cp', 'value': -92}"
r2qk2r/ppp2ppp/2n1pn2/3p1b2/1b1P3P/P1N1PNP1/1PP2P2/R1BQKB1R b KQkq - 0 7,"{'type': 'cp', 'value': -183}"
r2qk2r/ppp2ppp/2n1pn2/3p1b2/3P3P/P1b1PNP1/1PP2P2/R1BQKB1R w KQkq - 0 8,"{'type': 'cp', 'value': -182}"
r2qk2r/ppp2ppp/2n1pn2/3p1b2/3P3P/P1P1PNP1/2P2P2/R1BQKB1R b KQkq - 0 8,"{'type': 'cp', 'value': -155}"
r2qk2r/ppp2ppp/2n1p3/3p1b2/3Pn2P/P1P1PNP1/2P2P2/R1BQKB1R w KQkq - 1 9,"{'type': 'cp', 'value': -175}"
r2qk2r/ppp2ppp/2n1p3/3p1b2/3Pn2P/P1P1PNP1/2P2P1R/R1BQKB2 b Qkq - 2 9,"{'type': 'cp', 'value': -269}"
r2qk2r/ppp2ppp/2n1p3/3p1b2/3P3P/P1n1PNP1/2P2P1R/R1BQKB2 w Qkq - 0 10,"{'type': 'cp', 'value': -292}"
r2qk2r/ppp2ppp/2n1p3/3p1b2/3P3P/P1n1PNP1/2PQ1P1R/R1B1KB2 b Qkq - 1 10,"{'type': 'cp', 'value': -284}"
r2qk2r/ppp2ppp/2n1p3/3p1b2/3Pn2P/P3PNP1/2PQ1P1R/R1B1KB2 w Qkq - 2 11,"{'type': 'cp', 'value': -297}"
r2qk2r/ppp2ppp/2n1p3/3p1b2/3Pn2P/P3PNP1/2P1QP1R/R1B1KB2 b Qkq - 3 11,"{'type': 'cp', 'value': -264}"
r2qk2r/ppp2ppp/2n1p3/3p1b2/3P3P/P1n1PNP1/2P1QP1R/R1B1KB2 w Qkq - 4 12,"{'type': 'cp', 'value': -307}"
r2qk2r/ppp2ppp/2n1p3/3p1b2/3P3P/P1n1PNP1/2PQ1P1R/R1B1KB2 b Qkq - 5 12,"{'type': 'cp', 'value': -281}"
r2qk2r/ppp2ppp/2n1p3/3p1b2/3Pn2P/P3PNP1/2PQ1P1R/R1B1KB2 w Qkq - 6 13,"{'type': 'cp', 'value': -298}"
r2qk2r/ppp2ppp/2n1p3/3p1b2/3Pn2P/P2QPNP1/2P2P1R/R1B1KB2 b Qkq - 7 13,"{'type': 'cp', 'value': -384}"
r2qk2r/ppp2ppp/2n1p3/3p1bn1/3P3P/P2QPNP1/2P2P1R/R1B1KB2 w Qkq - 8 14,"{'type': 'cp', 'value': -228}"
r2qk2r/ppp2ppp/2n1p3/1Q1p1bn1/3P3P/P3PNP1/2P2P1R/R1B1KB2 b Qkq - 9 14,"{'type': 'cp', 'value': -761}"
r2qk2r/ppp2ppp/2n1p3/1Q1p1b2/3P3P/P3PnP1/2P2P1R/R1B1KB2 w Qkq - 0 15,"{'type': 'cp', 'value': -778}"
r2qk2r/ppp2ppp/2n1p3/1Q1p1b2/3P3P/P3PnP1/2P2P1R/R1BK1B2 b kq - 1 15,"{'type': 'cp', 'value': -713}"
r2qk2r/ppp2ppp/2n1p3/1Q1p1b2/3P3P/P3P1P1/2P2P1n/R1BK1B2 w kq - 0 16,"{'type': 'cp', 'value': -772}"
r2qk2r/ppp2ppp/2n1p3/1Q1p1b2/3P3P/P2BP1P1/2P2P1n/R1BK4 b kq - 1 16,"{'type': 'cp', 'value': -801}"
r2qk2r/ppp2ppp/2n1p3/1Q1p4/3P2bP/P2BP1P1/2P2P1n/R1BK4 w kq - 2 17,"{'type': 'cp', 'value': -776}"
r2qk2r/ppp2ppp/2n1p3/1Q1p4/3P2bP/P2BP1P1/2PK1P1n/R1B5 b kq - 3 17,"{'type': 'cp', 'value': -795}"
r2qk2r/ppp2ppp/2n1p3/1Q1p4/3P2bP/P2BPnP1/2PK1P2/R1B5 w kq - 4 18,"{'type': 'cp', 'value': -772}"
r2qk2r/ppp2ppp/2n1p3/1Q1p4/3P2bP/P1KBPnP1/2P2P2/R1B5 b kq - 5 18,"{'type': 'cp', 'value': -820}"
r2qk2r/1pp2ppp/p1n1p3/1Q1p4/3P2bP/P1KBPnP1/2P2P2/R1B5 w kq - 0 19,"{'type': 'cp', 'value': -688}"
r2qk2r/1Qp2ppp/p1n1p3/3p4/3P2bP/P1KBPnP1/2P2P2/R1B5 b kq - 0 19,"{'type': 'cp', 'value': -729}"
rq2k2r/1Qp2ppp/p1n1p3/3p4/3P2bP/P1KBPnP1/2P2P2/R1B5 w kq - 1 20,"{'type': 'cp', 'value': -340}"
rq2k2r/2p2ppp/p1Q1p3/3p4/3P2bP/P1KBPnP1/2P2P2/R1B5 b kq - 0 20,"{'type': 'cp', 'value': -358}"
rq1k3r/2p2ppp/p1Q1p3/3p4/3P2bP/P1KBPnP1/2P2P2/R1B5 w - - 1 21,"{'type': 'cp', 'value': -328}"
rq1k3r/2p2ppp/B1Q1p3/3p4/3P2bP/P1K1PnP1/2P2P2/R1B5 b - - 0 21,"{'type': 'cp', 'value': -438}"
rq1k3r/2p2ppp/B1Q5/3pp3/3P2bP/P1K1PnP1/2P2P2/R1B5 w - - 0 22,"{'type': 'cp', 'value': -347}"
rq1k3r/2p2ppp/2Q5/1B1pp3/3P2bP/P1K1PnP1/2P2P2/R1B5 b - - 1 22,"{'type': 'cp', 'value': -373}"
rq1k3r/2p2ppp/2Q5/1B1p4/3p2bP/P1K1PnP1/2P2P2/R1B5 w - - 0 23,"{'type': 'cp', 'value': -376}"
rq1k3r/2p2ppp/2Q5/1B1p4/3p2bP/PK2PnP1/2P2P2/R1B5 b - - 1 23,"{'type': 'cp', 'value': -513}"
rq1k3r/2p2ppp/2Q5/1B1p4/6bP/PK2pnP1/2P2P2/R1B5 w - - 0 24,"{'type': 'cp', 'value': -407}"
rq1k3r/2pQ1ppp/8/1B1p4/6bP/PK2pnP1/2P2P2/R1B5 b - - 1 24,"{'type': 'cp', 'value': -1028}"
rq1k3r/2pb1ppp/8/1B1p4/7P/PK2pnP1/2P2P2/R1B5 w - - 0 25,"{'type': 'cp', 'value': -1038}"
rq1k3r/2pb1ppp/8/1B1p4/1K5P/P3pnP1/2P2P2/R1B5 b - - 1 25,"{'type': 'mate', 'value': -2}"
r2k3r/2pb1ppp/8/1q1p4/1K5P/P3pnP1/2P2P2/R1B5 w - - 0 26,"{'type': 'mate', 'value': -1}"
r2k3r/2pb1ppp/8/1q1p4/7P/P1K1pnP1/2P2P2/R1B5 b - - 1 26,"{'type': 'mate', 'value': -1}"
r2k3r/2pb1ppp/8/3p4/2q4P/P1K1pnP1/2P2P2/R1B5 w - - 2 27,"{'type': 'mate', 'value': -1}"
r2k3r/2pb1ppp/8/3p4/2q4P/P3pnP1/1KP2P2/R1B5 b - - 3 27,"{'type': 'mate', 'value': -1}"
1r1k3r/2pb1ppp/8/3p4/2q4P/P3pnP1/1KP2P2/R1B5 w - - 4 28,"{'type': 'mate', 'value': 0}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 23}"
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 24}"
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,"{'type': 'cp', 'value': 26}"
rnbqkbnr/pp2pppp/2p5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,"{'type': 'cp', 'value': 35}"
rnbqkbnr/pp2pppp/2p5/3p4/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq - 0 3,"{'type': 'cp', 'value': 38}"
rnbqkbnr/pp2pppp/2p5/8/2pP4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 4,"{'type': 'cp', 'value': 83}"
rnbqkbnr/pp2pppp/2p5/8/2BP4/4P3/PP3PPP/RNBQK1NR b KQkq - 0 4,"{'type': 'cp', 'value': 86}"
rnbqkb1r/pp2pppp/2p2n2/8/2BP4/4P3/PP3PPP/RNBQK1NR w KQkq - 1 5,"{'type': 'cp', 'value': 78}"
rnbqkb1r/pp2pppp/2p2n2/8/2BP4/2N1P3/PP3PPP/R1BQK1NR b KQkq - 2 5,"{'type': 'cp', 'value': 89}"
rnbqkb1r/pp3ppp/2p1pn2/8/2BP4/2N1P3/PP3PPP/R1BQK1NR w KQkq - 0 6,"{'type': 'cp', 'value': 84}"
rnbqkb1r/pp3ppp/2p1pn2/8/2BPP3/2N5/PP3PPP/R1BQK1NR b KQkq - 0 6,"{'type': 'cp', 'value': 57}"
rnbqkb1r/pp3ppp/2p2n2/4p3/2BPP3/2N5/PP3PPP/R1BQK1NR w KQkq - 0 7,"{'type': 'cp', 'value': 179}"
rnbqkb1r/pp3ppp/2p2n2/3Pp3/2B1P3/2N5/PP3PPP/R1BQK1NR b KQkq - 0 7,"{'type': 'cp', 'value': 16}"
rnbqkb1r/pp3ppp/5n2/3pp3/2B1P3/2N5/PP3PPP/R1BQK1NR w KQkq - 0 8,"{'type': 'cp', 'value': 25}"
rnbqkb1r/pp3ppp/5n2/3Pp3/2B5/2N5/PP3PPP/R1BQK1NR b KQkq - 0 8,"{'type': 'cp', 'value': 16}"
rnbqk2r/pp3ppp/3b1n2/3Pp3/2B5/2N5/PP3PPP/R1BQK1NR w KQkq - 1 9,"{'type': 'cp', 'value': 23}"
rnbqk2r/pp3ppp/3b1n2/3Pp1B1/2B5/2N5/PP3PPP/R2QK1NR b KQkq - 2 9,"{'type': 'cp', 'value': 12}"
rnbq1rk1/pp3ppp/3b1n2/3Pp1B1/2B5/2N5/PP3PPP/R2QK1NR w KQ - 3 10,"{'type': 'cp', 'value': 8}"
rnbq1rk1/pp3ppp/3b1B2/3Pp3/2B5/2N5/PP3PPP/R2QK1NR b KQ - 0 10,"{'type': 'cp', 'value': -70}"
rnb2rk1/pp3ppp/3b1q2/3Pp3/2B5/2N5/PP3PPP/R2QK1NR w KQ - 0 11,"{'type': 'cp', 'value': -72}"
rnb2rk1/pp3ppp/3b1q2/3Pp3/2B5/2N2N2/PP3PPP/R2QK2R b KQ - 1 11,"{'type': 'cp', 'value': -78}"
rnb2rk1/pp3ppp/5q2/2bPp3/2B5/2N2N2/PP3PPP/R2QK2R w KQ - 2 12,"{'type': 'cp', 'value': 23}"
rnb2rk1/pp3ppp/5q2/2bPp3/2B5/2N2N2/PP3PPP/R2Q1RK1 b - - 3 12,"{'type': 'cp', 'value': -9}"
rnb2rk1/pp3ppp/6q1/2bPp3/2B5/2N2N2/PP3PPP/R2Q1RK1 w - - 4 13,"{'type': 'cp', 'value': 158}"
rnb2rk1/pp3ppp/6q1/2bPN3/2B5/2N5/PP3PPP/R2Q1RK1 b - - 0 13,"{'type': 'cp', 'value': 173}"
rnb2rk1/pp3ppp/8/2bPN1q1/2B5/2N5/PP3PPP/R2Q1RK1 w - - 1 14,"{'type': 'cp', 'value': 181}"
rnb2rk1/pp3ppp/8/2bP2q1/2B5/2N2N2/PP3PPP/R2Q1RK1 b - - 2 14,"{'type': 'cp', 'value': 125}"
rnb2rk1/pp3ppp/7q/2bP4/2B5/2N2N2/PP3PPP/R2Q1RK1 w - - 3 15,"{'type': 'cp', 'value': 174}"
rnb2rk1/pp3ppp/7q/1NbP4/2B5/5N2/PP3PPP/R2Q1RK1 b - - 4 15,"{'type': 'cp', 'value': 110}"
r1b2rk1/pp3ppp/n6q/1NbP4/2B5/5N2/PP3PPP/R2Q1RK1 w - - 5 16,"{'type': 'cp', 'value': 141}"
r1b2rk1/pp3ppp/n2P3q/1Nb5/2B5/5N2/PP3PPP/R2Q1RK1 b - - 0 16,"{'type': 'cp', 'value': 99}"
r1br2k1/pp3ppp/n2P3q/1Nb5/2B5/5N2/PP3PPP/R2Q1RK1 w - - 1 17,"{'type': 'cp', 'value': 258}"
r1br2k1/pp3ppp/n2P3q/1NbQ4/2B5/5N2/PP3PPP/R4RK1 b - - 2 17,"{'type': 'cp', 'value': 10}"
r1br2k1/pp3ppp/n2b3q/1N1Q4/2B5/5N2/PP3PPP/R4RK1 w - - 0 18,"{'type': 'cp', 'value': 466}"
r1br2k1/pp3Qpp/n2b3q/1N6/2B5/5N2/PP3PPP/R4RK1 b - - 0 18,"{'type': 'cp', 'value': 475}"
r1br3k/pp3Qpp/n2b3q/1N6/2B5/5N2/PP3PPP/R4RK1 w - - 1 19,"{'type': 'cp', 'value': 434}"
r1br3k/pp3Qpp/n2N3q/8/2B5/5N2/PP3PPP/R4RK1 b - - 0 19,"{'type': 'cp', 'value': 489}"
r1br3k/pp3Qpp/n2q4/8/2B5/5N2/PP3PPP/R4RK1 w - - 0 20,"{'type': 'cp', 'value': 434}"
r1br3k/pp3Qpp/n2q4/8/2B5/5N2/PP3PPP/R2R2K1 b - - 1 20,"{'type': 'cp', 'value': 270}"
r1br1q1k/pp3Qpp/n7/8/2B5/5N2/PP3PPP/R2R2K1 w - - 2 21,"{'type': 'cp', 'value': 529}"
r1bR1q1k/pp3Qpp/n7/8/2B5/5N2/PP3PPP/R5K1 b - - 0 21,"{'type': 'cp', 'value': 506}"
r1bq3k/pp3Qpp/n7/8/2B5/5N2/PP3PPP/R5K1 w - - 0 22,"{'type': 'cp', 'value': 488}"
r1bq3k/pp3Qpp/n7/8/2B5/5N1P/PP3PP1/R5K1 b - - 0 22,"{'type': 'cp', 'value': 487}"
r2q3k/pp3Qpp/n7/5b2/2B5/5N1P/PP3PP1/R5K1 w - - 1 23,"{'type': 'cp', 'value': 588}"
r2q3k/pp4pp/n7/5Q2/2B5/5N1P/PP3PP1/R5K1 b - - 0 23,"{'type': 'cp', 'value': 572}"
r4q1k/pp4pp/n7/5Q2/2B5/5N1P/PP3PP1/R5K1 w - - 1 24,"{'type': 'cp', 'value': 631}"
r4q1k/pp4pp/n7/3Q4/2B5/5N1P/PP3PP1/R5K1 b - - 2 24,"{'type': 'cp', 'value': 531}"
r4q1k/ppn3pp/8/3Q4/2B5/5N1P/PP3PP1/R5K1 w - - 3 25,"{'type': 'cp', 'value': 632}"
r4q1k/pQn3pp/8/8/2B5/5N1P/PP3PP1/R5K1 b - - 0 25,"{'type': 'cp', 'value': 622}"
rq5k/pQn3pp/8/8/2B5/5N1P/PP3PP1/R5K1 w - - 1 26,"{'type': 'cp', 'value': 635}"
rq5k/p1n3pp/8/3Q4/2B5/5N1P/PP3PP1/R5K1 b - - 2 26,"{'type': 'cp', 'value': -324}"
rq5k/p5pp/8/3n4/2B5/5N1P/PP3PP1/R5K1 w - - 0 27,"{'type': 'cp', 'value': -315}"
rq5k/p5pp/8/3B4/8/5N1P/PP3PP1/R5K1 b - - 0 27,"{'type': 'cp', 'value': -319}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 23}"
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 24}"
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,"{'type': 'cp', 'value': 26}"
rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,"{'type': 'cp', 'value': 68}"
rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 2 3,"{'type': 'cp', 'value': 21}"
r1bqkb1r/ppp1pppp/2n2n2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 3 4,"{'type': 'cp', 'value': 52}"
r1bqkb1r/ppp1pppp/2n2n2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 4 4,"{'type': 'cp', 'value': 59}"
r1bqkb1r/ppp2ppp/2n1pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,"{'type': 'cp', 'value': 62}"
r1bqkb1r/ppp2ppp/2n1pn2/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 0 5,"{'type': 'cp', 'value': 58}"
r1bqk2r/ppp2ppp/2nbpn2/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R w KQkq - 1 6,"{'type': 'cp', 'value': 55}"
r1bqk2r/ppp2ppp/2nbpn2/3p4/2PP4/2NBPN2/PP3PPP/R1BQK2R b KQkq - 2 6,"{'type': 'cp', 'value': 8}"
r1bqk2r/ppp2ppp/2nbp3/3p4/2PPn3/2NBPN2/PP3PPP/R1BQK2R w KQkq - 3 7,"{'type': 'cp', 'value': 209}"
r1bqk2r/ppp2ppp/2nbp3/3p4/2PPB3/2N1PN2/PP3PPP/R1BQK2R b KQkq - 0 7,"{'type': 'cp', 'value': 179}"
r1bqk2r/ppp2ppp/2nbp3/8/2PPp3/2N1PN2/PP3PPP/R1BQK2R w KQkq - 0 8,"{'type': 'cp', 'value': 165}"
r1bqk2r/ppp2ppp/2nbp3/4N3/2PPp3/2N1P3/PP3PPP/R1BQK2R b KQkq - 1 8,"{'type': 'cp', 'value': -109}"
r1bqk2r/ppp3pp/2nbp3/4Np2/2PPp3/2N1P3/PP3PPP/R1BQK2R w KQkq - 0 9,"{'type': 'cp', 'value': 335}"
r1bqk2r/ppp3pp/2Nbp3/5p2/2PPp3/2N1P3/PP3PPP/R1BQK2R b KQkq - 0 9,"{'type': 'cp', 'value': 13}"
r1bqk2r/p1p3pp/2pbp3/5p2/2PPp3/2N1P3/PP3PPP/R1BQK2R w KQkq - 0 10,"{'type': 'cp', 'value': 26}"
r1bqk2r/p1p3pp/2pbp3/5p1Q/2PPp3/2N1P3/PP3PPP/R1B1K2R b KQkq - 1 10,"{'type': 'cp', 'value': -13}"
r1bqk2r/p1p4p/2pbp1p1/5p1Q/2PPp3/2N1P3/PP3PPP/R1B1K2R w KQkq - 0 11,"{'type': 'cp', 'value': 1}"
r1bqk2r/p1p4p/2pbp1p1/5p2/2PPp3/2N1P3/PP3PPP/R1BQK2R b KQkq - 1 11,"{'type': 'cp', 'value': -4}"
r1bq1rk1/p1p4p/2pbp1p1/5p2/2PPp3/2N1P3/PP3PPP/R1BQK2R w KQ - 2 12,"{'type': 'cp', 'value': -19}"
r1bq1rk1/p1p4p/2pbp1p1/5p2/2PPp3/2N1P3/PP3PPP/R1BQ1RK1 b - - 3 12,"{'type': 'cp', 'value': -21}"
r1bq1rk1/p1p4p/2p1p1p1/5p2/1bPPp3/2N1P3/PP3PPP/R1BQ1RK1 w - - 4 13,"{'type': 'cp', 'value': 13}"
r1bq1rk1/p1p4p/2p1p1p1/5p2/1bPPp3/P1N1P3/1P3PPP/R1BQ1RK1 b - - 0 13,"{'type': 'cp', 'value': -29}"
r1bq1rk1/p1p4p/2p1p1p1/5p2/2PPp3/P1b1P3/1P3PPP/R1BQ1RK1 w - - 0 14,"{'type': 'cp', 'value': -42}"
r1bq1rk1/p1p4p/2p1p1p1/5p2/2PPp3/P1P1P3/5PPP/R1BQ1RK1 b - - 0 14,"{'type': 'cp', 'value': -30}"
r1b2rk1/p1p1q2p/2p1p1p1/5p2/2PPp3/P1P1P3/5PPP/R1BQ1RK1 w - - 1 15,"{'type': 'cp', 'value': 29}"
r1b2rk1/p1p1q2p/2p1p1p1/5p2/2PPp3/P1P1P2P/5PP1/R1BQ1RK1 b - - 0 15,"{'type': 'cp', 'value': -15}"
r1b2rk1/p1p1q2p/4p1p1/2p2p2/2PPp3/P1P1P2P/5PP1/R1BQ1RK1 w - - 0 16,"{'type': 'cp', 'value': 59}"
r1b2rk1/p1p1q2p/4p1p1/2pP1p2/2P1p3/P1P1P2P/5PP1/R1BQ1RK1 b - - 0 16,"{'type': 'cp', 'value': -169}"
r1b2rk1/p1p1q2p/6p1/2pp1p2/2P1p3/P1P1P2P/5PP1/R1BQ1RK1 w - - 0 17,"{'type': 'cp', 'value': -90}"
r1b2rk1/p1p1q2p/6p1/2pP1p2/4p3/P1P1P2P/5PP1/R1BQ1RK1 b - - 0 17,"{'type': 'cp', 'value': -94}"
r4rk1/p1p1q2p/b5p1/2pP1p2/4p3/P1P1P2P/5PP1/R1BQ1RK1 w - - 1 18,"{'type': 'cp', 'value': -88}"
r4rk1/p1p1q2p/b5p1/2pP1p2/P3p3/2P1P2P/5PP1/R1BQ1RK1 b - - 0 18,"{'type': 'cp', 'value': -230}"
r4rk1/p1p1q2p/6p1/2pP1p2/P3p3/2P1P2P/5PP1/R1BQ1bK1 w - - 0 19,"{'type': 'cp', 'value': -228}"
r4rk1/p1p1q2p/6p1/2pP1p2/P3p3/2P1P2P/5PP1/R1B2QK1 b - - 0 19,"{'type': 'cp', 'value': -245}"
r4rk1/2p1q2p/6p1/p1pP1p2/P3p3/2P1P2P/5PP1/R1B2QK1 w - - 0 20,"{'type': 'cp', 'value': -117}"
r4rk1/2p1q2p/6p1/p1pP1p2/P3p3/B1P1P2P/5PP1/R4QK1 b - - 1 20,"{'type': 'cp', 'value': -73}"
r4rk1/2p4p/6p1/p1pPqp2/P3p3/B1P1P2P/5PP1/R4QK1 w - - 2 21,"{'type': 'cp', 'value': 45}"
r4rk1/2p4p/6p1/p1pPqp2/P3p3/B1P1P2P/5PP1/R2Q2K1 b - - 3 21,"{'type': 'cp', 'value': -202}"
r4rk1/2p4p/6p1/p1pPq3/P3pp2/B1P1P2P/5PP1/R2Q2K1 w - - 0 22,"{'type': 'cp', 'value': -24}"
r4rk1/2p4p/6p1/p1pPq3/P3pP2/B1P4P/5PP1/R2Q2K1 b - - 0 22,"{'type': 'cp', 'value': -165}"
r4rk1/2p4p/6p1/p1pP4/P3pq2/B1P4P/5PP1/R2Q2K1 w - - 0 23,"{'type': 'cp', 'value': 43}"
r4rk1/2p4p/6p1/p1BP4/P3pq2/2P4P/5PP1/R2Q2K1 b - - 0 23,"{'type': 'cp', 'value': 57}"
r5k1/2p2r1p/6p1/p1BP4/P3pq2/2P4P/5PP1/R2Q2K1 w - - 1 24,"{'type': 'cp', 'value': 92}"
r5k1/2p2r1p/3P2p1/p1B5/P3pq2/2P4P/5PP1/R2Q2K1 b - - 0 24,"{'type': 'cp', 'value': -58}"
r5k1/5r1p/3p2p1/p1B5/P3pq2/2P4P/5PP1/R2Q2K1 w - - 0 25,"{'type': 'cp', 'value': 13}"
r5k1/5r1p/1B1p2p1/p7/P3pq2/2P4P/5PP1/R2Q2K1 b - - 1 25,"{'type': 'cp', 'value': -42}"
1r4k1/5r1p/1B1p2p1/p7/P3pq2/2P4P/5PP1/R2Q2K1 w - - 2 26,"{'type': 'cp', 'value': -58}"
1r4k1/B4r1p/3p2p1/p7/P3pq2/2P4P/5PP1/R2Q2K1 b - - 3 26,"{'type': 'cp', 'value': -519}"
1r4k1/r6p/3p2p1/p7/P3pq2/2P4P/5PP1/R2Q2K1 w - - 0 27,"{'type': 'cp', 'value': -539}"
1r4k1/r6p/3p2p1/p2Q4/P3pq2/2P4P/5PP1/R5K1 b - - 1 27,"{'type': 'cp', 'value': -516}"
1r6/r5kp/3p2p1/p2Q4/P3pq2/2P4P/5PP1/R5K1 w - - 2 28,"{'type': 'cp', 'value': 0}"
1r6/r5kp/3p2p1/p7/P2Qpq2/2P4P/5PP1/R5K1 b - - 3 28,"{'type': 'cp', 'value': 1}"
1r3k2/r6p/3p2p1/p7/P2Qpq2/2P4P/5PP1/R5K1 w - - 4 29,"{'type': 'cp', 'value': 178}"
1r3k2/Q6p/3p2p1/p7/P3pq2/2P4P/5PP1/R5K1 b - - 0 29,"{'type': 'cp', 'value': 165}"
4rk2/Q6p/3p2p1/p7/P3pq2/2P4P/5PP1/R5K1 w - - 1 30,"{'type': 'cp', 'value': 193}"
4rk2/7p/3p2p1/Q7/P3pq2/2P4P/5PP1/R5K1 b - - 0 30,"{'type': 'cp', 'value': 217}"
4rk2/7p/3p2p1/Q7/P4q2/2P1p2P/5PP1/R5K1 w - - 0 31,"{'type': 'cp', 'value': 179}"
4rk2/7p/3p2p1/Q7/P4q2/2P1p2P/5PP1/5RK1 b - - 1 31,"{'type': 'cp', 'value': -541}"
4rk2/7p/3p2p1/Q7/P4q2/2P4P/5pP1/5RK1 w - - 0 32,"{'type': 'cp', 'value': -652}"
4rk2/7p/3p2p1/Q7/P4q2/2P4P/5RP1/6K1 b - - 0 32,"{'type': 'mate', 'value': -2}"
5k2/7p/3p2p1/Q7/P4q2/2P4P/5RP1/4r1K1 w - - 1 33,"{'type': 'mate', 'value': -1}"
5k2/7p/3p2p1/Q7/P4q2/2P4P/6P1/4rRK1 b - - 2 33,"{'type': 'mate', 'value': -1}"
5k2/7p/3p2p1/Q7/P4q2/2P4P/6P1/5rK1 w - - 0 34,"{'type': 'mate', 'value': 0}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 39}"
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 35}"
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 42}"
rnbqkbnr/pp1ppppp/8/2p5/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,"{'type': 'cp', 'value': 22}"
rnbqkbnr/pp1ppppp/8/8/3pP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,"{'type': 'cp', 'value': 23}"
rnbqkbnr/pp1ppppp/8/8/3QP3/8/PPP2PPP/RNB1KBNR b KQkq - 0 3,"{'type': 'cp', 'value': 3}"
